Name,ProductNumber,Color,ProductCategoryID,StandardCost,ListPrice
Xbox Controller Lunar Shift Special Edition,176385,Blue,4,84,97
Xbox Controller Mineral Camo Special Edition,3798,Green,4,95,109
Xbox Controller Series 2 Core (White),56793,White,4,118,136
Xbox Controller 20th Anniversary Edition,227520,Black,4,75,86
Xbox Controller Series 2 Halo Infinite Edition,194259,Black,4,118,136
Microsoft Surface Pro X 1876 13 Inches Laptop,219382,Grey,5,211,243
Microsoft Surface Laptop Ryzen 13.5 inches,256077,Black,5,254,292
Microsoft Surface Pro X 1876 13 Inches Laptop,213959,Silver,5,594,683
Microsoft Surface GO 2 STQ-00013,87215,Whie,5,466,536
Microsoft Surface Laptop 3 ,122050,Black,5,296,340
Xbox Controller Forza Horizon 5 Edition,200859,Blue,4,254,292
Xbox Wireless Controller Black,228752,Black,4,254,292
Xbox Controller Daystrike Camo Edition,164471,Green,4,254,292
Xbox Controller Aqua Shift Edition,108701,Blue,4,254,292
